"","spp","Predicted","SE","lower","upper","point"
"1","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Cha"
"2","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Chb"
"3","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Chc"
"4","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Fa"
"5","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Fb"
"6","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Fc"
"7","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ga"
"8","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Gb"
"9","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Gc"
"10","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ia"
"11","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ib"
"12","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ic"
"13","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ja"
"14","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Jb"
"15","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Jc"
"16","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Lsa"
"17","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Lsb"
"18","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Lsc"
"19","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Lta"
"20","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ltb"
"21","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ltc"
"22","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Ma"
"23","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Mb"
"24","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Mc"
"25","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Pa"
"26","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Pb"
"27","apop",19.8832343857542,0.674425995021416,18.6043647588209,21.2500138953357,"Pc"
"28","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Fa"
"29","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Fb"
"30","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Fc"
"31","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Lta"
"32","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Ltb"
"33","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Ltc"
"34","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Ma"
"35","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Mb"
"36","clma",19.8495211472117,0.754039100743453,18.4253091471904,21.3838197571672,"Mc"
"37","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Ga"
"38","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Gb"
"39","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Gc"
"40","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Ia"
"41","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Ib"
"42","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Ic"
"43","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Pa"
"44","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Pb"
"45","dima",18.596843836628,0.982122884449004,16.7681910013856,20.624920163144,"Pc"
"46","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Cha"
"47","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Chb"
"48","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Chc"
"49","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Fa"
"50","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Fb"
"51","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Fc"
"52","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ga"
"53","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Gb"
"54","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Gc"
"55","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ia"
"56","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ib"
"57","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ic"
"58","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ja"
"59","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Jb"
"60","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Jc"
"61","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Lsa"
"62","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Lsb"
"63","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Lsc"
"64","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Lta"
"65","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ltb"
"66","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ltc"
"67","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Ma"
"68","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Mb"
"69","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Mc"
"70","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Pa"
"71","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Pb"
"72","gaga",44.5710007944099,5.12750201020443,35.5737073108417,55.8438875784489,"Pc"
"73","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Cha"
"74","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Chb"
"75","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Chc"
"76","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Fa"
"77","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Fb"
"78","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Fc"
"79","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ga"
"80","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Gb"
"81","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Gc"
"82","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ia"
"83","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ib"
"84","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ic"
"85","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ja"
"86","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Jb"
"87","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Jc"
"88","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Lsa"
"89","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Lsb"
"90","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Lsc"
"91","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Lta"
"92","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ltb"
"93","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ltc"
"94","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Ma"
"95","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Mb"
"96","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Mc"
"97","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Pa"
"98","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Pb"
"99","gaxa",37.8989546694901,2.88192957236538,32.6512472770586,43.9900734220729,"Pc"
"100","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Cha"
"101","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Chb"
"102","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Chc"
"103","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Ja"
"104","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Jb"
"105","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Jc"
"106","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Lsa"
"107","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Lsb"
"108","mota",19.380636456263,0.766432271468973,17.9351978513464,20.9425662634457,"Lsc"
"109","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Cha"
"110","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Chb"
"111","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Chc"
"112","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Fa"
"113","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Fb"
"114","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Fc"
"115","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ga"
"116","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Gb"
"117","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Gc"
"118","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ia"
"119","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ib"
"120","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ic"
"121","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ja"
"122","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Jb"
"123","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Jc"
"124","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Lsa"
"125","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Lsb"
"126","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Lsc"
"127","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Lta"
"128","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ltb"
"129","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ltc"
"130","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Ma"
"131","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Mb"
"132","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Mc"
"133","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Pa"
"134","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Pb"
"135","myru",15.5882933562886,0.89120966581296,13.9358642498843,17.4366573471558,"Pc"
"136","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Cha"
"137","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Chb"
"138","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Chc"
"139","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Fa"
"140","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Fb"
"141","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Fc"
"142","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ga"
"143","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Gb"
"144","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Gc"
"145","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ia"
"146","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ib"
"147","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ic"
"148","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ja"
"149","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Jb"
"150","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Jc"
"151","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Lsa"
"152","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Lsb"
"153","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Lsc"
"154","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Lta"
"155","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ltb"
"156","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ltc"
"157","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Ma"
"158","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Mb"
"159","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Mc"
"160","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Pa"
"161","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Pb"
"162","ptro",48.7764991247998,1.4521398384642,46.0118026887439,51.7073169892042,"Pc"
"163","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Cha"
"164","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Chb"
"165","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Chc"
"166","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Fa"
"167","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Fb"
"168","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Fc"
"169","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Ga"
"170","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Gb"
"171","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Gc"
"172","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Ia"
"173","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Ib"
"174","rhru",21.3150818735969,0.465396932176498,20.4221627793114,22.2470421075284,"Ic"
