"","spp","Predicted","SE","lower","upper","island"
"1","apop",19.3229197947257,0.634794721336644,18.117954270235,20.6080236115177,"Rota"
"2","apop",19.3229197947257,0.634794721336644,18.117954270235,20.6080236115177,"Saipan"
"3","apop",19.3229197947257,0.634794721336644,18.117954270235,20.6080236115177,"Tinian"
"4","clma",19.7773725623299,0.73751188811885,18.3834365755837,21.2770046482336,"Saipan"
"5","dima",18.129581202854,0.898989065847335,16.4505096506595,19.9800323254848,"Rota"
"6","gaga",44.5711642025533,5.12753478790835,35.5738158650806,55.8441266437489,"Rota"
"7","gaga",44.5711642025533,5.12753478790835,35.5738158650806,55.8441266437489,"Saipan"
"8","gaga",44.5711642025533,5.12753478790835,35.5738158650806,55.8441266437489,"Tinian"
"9","gaxa",37.8987972181178,2.8819028740967,32.6511364920743,43.9898571655743,"Rota"
"10","gaxa",37.8987972181178,2.8819028740967,32.6511364920743,43.9898571655743,"Saipan"
"11","gaxa",37.8987972181178,2.8819028740967,32.6511364920743,43.9898571655743,"Tinian"
"12","mota",19.3784101699814,0.766045999469628,17.9336785399648,20.9395289359734,"Tinian"
"13","myru",15.7325284296454,0.997954022144448,13.8932759242872,17.8152692092522,"Rota"
"14","myru",15.7325284296454,0.997954022144448,13.8932759242872,17.8152692092522,"Saipan"
"15","myru",15.7325284296454,0.997954022144448,13.8932759242872,17.8152692092522,"Tinian"
"16","ptro",48.9386935564033,1.46308171954547,46.1535027622233,51.891960169226,"Rota"
"17","ptro",48.9386935564033,1.46308171954547,46.1535027622233,51.891960169226,"Saipan"
"18","ptro",48.9386935564033,1.46308171954547,46.1535027622233,51.891960169226,"Tinian"
"19","rhru",21.268334596801,0.458152921125933,20.3890636838824,22.1855237461963,"Rota"
"20","rhru",21.268334596801,0.458152921125933,20.3890636838824,22.1855237461963,"Saipan"
"21","rhru",21.268334596801,0.458152921125933,20.3890636838824,22.1855237461963,"Tinian"
"22","stbi",47.1984436283789,4.98841618151632,38.3675403304332,58.0619206171592,"Rota"
"23","stbi",47.1984436283789,4.98841618151632,38.3675403304332,58.0619206171592,"Saipan"
"24","stbi",47.1984436283789,4.98841618151632,38.3675403304332,58.0619206171592,"Tinian"
"25","toch",31.3857137204892,1.44447808128931,28.6785241268608,34.3484560567702,"Rota"
"26","toch",31.3857137204892,1.44447808128931,28.6785241268608,34.3484560567702,"Saipan"
"27","toch",31.3857137204892,1.44447808128931,28.6785241268608,34.3484560567702,"Tinian"
"28","zoco",21.6535440998375,0.491692667412611,20.7109744815716,22.639010660788,"Saipan"
"29","zoco",21.6535440998375,0.491692667412611,20.7109744815716,22.639010660788,"Tinian"
