date	island	site	point	time	spp	numind	dist	occasion
6/14/11	Saipan	MTR1	Mc	553	Rhru	2	13	1
6/14/11	Saipan	MTR1	Mc	553	Rhru	1	20	1
6/14/11	Saipan	MTR1	Mc	553	Ptro	1	30	1
6/14/11	Saipan	MTR1	Mc	553	Ptro	1	35	1
6/14/11	Saipan	MTR1	Mc	553	Rhru	1	10	1
6/14/11	Saipan	MTR1	Mc	553	Myru	1	15	1
6/14/11	Saipan	MTR1	Mc	553	Clma	4	17	1
6/14/11	Saipan	MTR1	Mc	553	Ptro	1	25	1
6/14/11	Saipan	MTR1	Mc	553	Zoco	3	17	1
6/14/11	Saipan	MTR1	Mc	553	Zoco	3	10	1
6/14/11	Saipan	MTR1	Mc	553	Apop	2	15	1
6/14/11	Saipan	MTR1	Mc	553	Rhru	1	20	1
6/14/11	Saipan	MTR1	Mc	553	Myru	1	20	1
6/14/11	Saipan	MTR1	Mc	553	Zoco	3	13	1
6/14/11	Saipan	MTR1	Mb	607	Clma	3	14	1
6/14/11	Saipan	MTR1	Mb	607	Zoco	4	15	1
6/14/11	Saipan	MTR1	Mb	607	Zoco	6	13	1
6/14/11	Saipan	MTR1	Mb	607	Ptro	1	27	1
6/14/11	Saipan	MTR1	Mb	607	Ptro	1	40	1
6/14/11	Saipan	MTR1	Mb	607	Rhru	1	17	1
6/14/11	Saipan	MTR1	Mb	607	Toch	2	40	1
6/14/11	Saipan	MTR1	Mb	607	Mela	1	40	1
6/14/11	Saipan	MTR1	Mb	607	Rhru	1	10	1
6/14/11	Saipan	MTR1	Mb	607	Clma	1	17	1
6/14/11	Saipan	MTR1	Mb	607	Clma	2	20	1
6/14/11	Saipan	MTR1	Mb	607	Toch	2	23	1
6/14/11	Saipan	ladt	Lta	653	Apop	1	30	1
6/14/11	Saipan	ladt	Lta	653	Rhru	1	25	1
6/14/11	Saipan	ladt	Lta	653	Ptro	1	50	1
6/14/11	Saipan	ladt	Lta	653	Clma	4	10	1
6/14/11	Saipan	ladt	Lta	653	Rhru	1	30	1
6/14/11	Saipan	ladt	Lta	653	Ptro	1	30	1
6/14/11	Saipan	ladt	Lta	653	Clma	6	25	1
6/14/11	Saipan	ladt	Lta	653	Clma	3	10	1
6/14/11	Saipan	ladt	Lta	653	Ptro	1	25	1
6/14/11	Saipan	ladt	Lta	653	Toch	2	22	1
6/14/11	Saipan	ladt	Lta	653	Rhru	1	20	1
6/14/11	Saipan	ladt	Lta	653	Myru	1	25	1
6/14/11	Saipan	ladt	Ltc	710	Clma	5	16	1
6/14/11	Saipan	ladt	Ltc	710	Ptro	2	45	1
6/14/11	Saipan	ladt	Ltc	710	Toch	2	35	1
6/14/11	Saipan	ladt	Ltc	710	Rhru	1	15	1
6/14/11	Saipan	ladt	Ltc	710	Myru	1	15	1
6/14/11	Saipan	ladt	Ltc	710	Clma	6	10	1
6/14/11	Saipan	ladt	Ltc	710	Ptro	1	23	1
6/14/11	Saipan	ladt	Ltc	710	Apop	1	20	1
