"","spp","Predicted","SE","lower","upper","island"
"1","apop",7.27175960692977,0.486213603245393,6.37860042400266,8.28998279653853,"Rota"
"2","apop",3.31486928576164,0.620126475895503,2.29735743985207,4.78304254752515,"Saipan"
"3","apop",6.09438966942218,0.839850758078172,4.65188018444932,7.98420938847902,"Tinian"
"4","clma",8.5267656373146,0.314116604458422,7.93280911328201,9.16519371579948,"Saipan"
"5","dima",6.97827462363751,0.642184610325086,5.82659927597621,8.35758809151061,"Rota"
"6","gaga",5.70842042501231,3.40264420305263,1.77474664795633,18.3609664997657,"Rota"
"7","gaga",3.44606374395222,2.7058836936364,0.739522424261713,16.0581409539238,"Saipan"
"8","gaga",4.02448029033942,3.09487676680694,0.891507377985684,18.167479044229,"Tinian"
"9","gaxa",1.99624352563919,1.12589347447379,0.660892281307507,6.02970911654843,"Rota"
"10","gaxa",4.20290169543701,2.14239889522623,1.54758806111372,11.41413733109,"Saipan"
"11","gaxa",5.91318053717024,2.47217468018205,2.60586507909994,13.4180792189157,"Tinian"
"12","mota",7.8985754456718,0.316056111733897,7.3027851092766,8.54297273402168,"Tinian"
"13","myru",1.73332266506513,0.763892944946632,0.730711983948579,4.11161651543394,"Rota"
"14","myru",4.91207614673052,1.82098751066561,2.37525730542195,10.1582645451511,"Saipan"
"15","myru",2.88422772276631,1.15216137827763,1.31825789886704,6.31042648325736,"Tinian"
"16","ptro",1.68869619546508,0.224084389043877,1.3019667730167,2.19029770934228,"Rota"
"17","ptro",1.98576434168646,0.248790618596508,1.55339946353591,2.53847134190305,"Saipan"
"18","ptro",1.5699339715351,0.214035228208031,1.20180431019446,2.05082695583041,"Tinian"
"19","rhru",7.6105292138547,0.364260756299396,6.92905521379125,8.35902632146074,"Rota"
"20","rhru",7.71327088090111,0.344866002332894,7.06611559473154,8.41969635007328,"Saipan"
"21","rhru",7.53858683427128,0.380934722564601,6.82774993049601,8.32342895336821,"Tinian"
"22","stbi",0.313224011905244,0.353937966522502,0.0341988376448095,2.86878994698543,"Rota"
"23","stbi",2.1926028449103,1.42047451219256,0.61590015255055,7.80566008240137,"Saipan"
"24","stbi",5.85527350984336,2.83680754887888,2.26542961501108,15.1336539647495,"Tinian"
"25","toch",1.69269761280749,0.316849719477162,1.17285994952278,2.44293891147873,"Rota"
"26","toch",2.13986683897688,0.368574862882665,1.52677178221268,2.99915818585326,"Saipan"
"27","toch",1.38135005849994,0.280816657752901,0.927388601278445,2.05752796776599,"Tinian"
"28","zoco",9.54617478139395,0.3201696790676,8.93883429235487,10.1947804351695,"Saipan"
"29","zoco",9.62683675847896,0.312504840958879,9.03341658695167,10.2592396888092,"Tinian"
